Player,First Event Date,Latest Event Date,Latest JPAR Out,Total Events,Ave Weighted JPAR Contribution,Ave Competition Strength,12-Month Avg Completion Time
Alicia Enguell,12/7/2024,12/7/2024,0.9593619751,1,0.75,0.6626130003,104.45
Stefanie K,11/28/2024,11/28/2024,0.959454117,1,0.25,0.7749535648,95.8
Aster Young,1/26/2025,2/21/2025,0.9595698714,2,0.75,0.8842731996,98.74166667
Ieva O.,5/8/2024,9/8/2024,0.9597345839,4,0.3125,0.8196039983,81.87083333
Mia Barnett,11/9/2024,2/8/2025,0.9597642826,3,0.25,0.866094826,87.97777778
Rosie Lockhart,7/14/2024,7/14/2024,0.9598432857,1,0.75,0.7311900349,102.4
Andrea Puerta Casado,11/16/2024,1/25/2025,0.9599198343,3,0.75,0.9538255063,123.2886792
Leslie Pluma,3/22/2024,3/22/2024,0.9602119226,1,0.75,0.8236432317,113.3833333
Anna Rodriguez,10/5/2024,2/5/2025,0.9605004304,3,0.4166666667,0.7593615371,118.6945822
Mandy Möller,9/18/2024,9/18/2024,0.9607989586,1,0.75,0.8181767181,81.31666667
Catherine Seibert,9/19/2024,9/19/2024,0.9608710712,1,0.75,0.8167563493,114.7959184
Sarah Bastiani,9/18/2024,2/8/2025,0.9609195707,2,0.75,0.8027906949,81.3
Radwa Metwali,7/20/2024,7/20/2024,0.9609826811,1,0.25,0.8722332218,99.18333333
Brittany Johnson,3/2/2024,3/2/2024,0.9610395824,1,0.6666666667,0.8598709855,101.9777778
Marta Hernández Jiménez,6/15/2024,6/15/2024,0.9610492735,1,0.75,0.8884098359,133.55
Sarah Cabrera,9/27/2024,1/10/2025,0.961107139,2,0.5,1.059121772,100.3833333
Lene Hejn,11/28/2024,12/19/2024,0.9614217942,3,0.25,0.7614608736,87.83888889
Gillan Scott,8/22/2024,8/22/2024,0.9618268501,1,0.25,0.8150472729,70.58333333
Carol Meyer,2/1/2025,2/1/2025,0.9622846032,1,0.625,0.886756468,113.1333333
Lynnea White,5/4/2024,5/4/2024,0.9625287867,1,0.75,0.8894414436,85.33333333
Fleur Luning,9/19/2024,2/11/2025,0.96259238,3,0.4166666667,0.7638358699,97.65555556
Emily Walsh,5/4/2024,5/4/2024,0.9626491088,1,0.5,0.7959826076,112.3833333
Daniela Rodríguez Daza,1/2/2025,1/2/2025,0.9626694973,1,0.75,0.8596302889,195.2277657
Nancy El,7/20/2024,7/20/2024,0.9627750376,1,0.75,#NUM!,215.0537634
Maïté,8/29/2024,8/29/2024,0.9629399226,1,0.25,0.8316191896,97.63333333
Irma,1/20/2025,1/28/2025,0.9632964101,3,0.25,0.7256332289,109.7833333
María Angélica Ramírez Archila,7/26/2024,1/2/2025,0.9633111575,2,0.75,#NUM!,162.1965986
Lindsay Zetzsche,3/9/2024,1/26/2025,0.9633379297,8,0.325,0.8491462761,85.97592593
Sonia Lara,12/7/2024,12/7/2024,0.9634885636,1,0.25,0.8505424754,75.96666667
Andreas Heyerick,9/18/2024,2/11/2025,0.9635620469,3,0.4166666667,0.7852243422,95.33333333
Marina Calderón García,6/15/2024,6/15/2024,0.9636878713,1,0.75,0.8884098359,133.9166667
Nanitza Gonzalez Allendes,3/9/2024,3/9/2024,0.9636920458,1,0.75,0.6661294073,94.6
Sabine Vajda,10/5/2024,2/8/2025,0.9638179643,3,0.5833333333,0.7585462307,125.3607844
Pelin Çelik,9/18/2024,9/18/2024,0.9638230226,1,0.75,0.7967835314,92.92973856
Abigail Bertelson,5/11/2024,6/1/2024,0.9638746184,2,0.25,0.858974807,86.31666667
Florina Münst,2/8/2025,2/8/2025,0.9640458937,1,0.75,0.828958652,88.88333333
Ivan Gómez García,1/25/2025,1/25/2025,0.9642227055,1,0.75,0.9231612522,141.6
Gustavo Adolfo López Salazar,7/26/2024,7/26/2024,0.9643635152,1,0.75,#NUM!,165.1982379
Jack Murphy,9/18/2024,9/18/2024,0.9648678023,1,0.75,0.7845964089,107.9136691
Mark Richer,9/19/2024,9/19/2024,0.9651177998,1,0.75,0.7268214647,103.3105023
Tiffani Suzuki,1/27/2025,1/27/2025,0.965253363,1,0.25,0.8269423059,131.1333333
Lisa Helms,3/9/2024,8/3/2024,0.965552403,4,0.3888888889,0.8566365578,97.32222222
Siv Jensen,1/23/2025,2/16/2025,0.9655684709,3,0.25,0.7780260386,90.22777778
Amber Swanson,4/20/2024,4/20/2024,0.9657562831,1,0.5,0.8970621609,146.3414634
Rebbekkah Seeary,12/7/2024,12/7/2024,0.9657913996,1,0.75,0.6626130003,105.15
Sarah-Lena Von Der Weiden-Reinmüller,9/18/2024,2/8/2025,0.9658509003,2,0.75,0.7779708157,102.7740119
Bibi Zama Crowe,6/1/2024,2/16/2025,0.9664390665,6,0.4166666667,0.755737327,93.78588777
Marion Delmas,9/19/2024,9/19/2024,0.9666009851,1,0.75,0.8013138705,81.25
Stacey Leybas,9/14/2024,9/14/2024,0.9668448421,1,0.25,0.846754312,89.28333333
Silvia María Lara López,1/2/2025,1/2/2025,0.9668641356,1,0.75,0.8596302889,196.0784314
Barbara Butland,10/19/2024,10/19/2024,0.9669161438,1,0.75,1.011170548,138.5666667
Emma Ong-Pålsson,3/9/2024,3/9/2024,0.9669179354,1,0.75,0.6661294073,94.91666667
Sharan Gill,9/19/2024,9/19/2024,0.9672262906,1,0.75,0.7767667865,98.705074
Sophia Kochalski,2/5/2025,2/5/2025,0.9673966321,1,0.25,0.819234645,92.11666667
Tim Bodway,2/21/2025,2/21/2025,0.9679041115,1,0.5,0.9560858073,88.51666667
Caroline,10/1/2024,10/13/2024,0.9679573135,2,0.25,0.8096403389,86.58333333
Patricia Boutin,6/1/2024,2/22/2025,0.968005015,8,0.46875,0.8882747226,101.1770833
Robyn Virgona,12/7/2024,12/7/2024,0.9680876226,1,0.75,0.6626130003,105.4
Mercè Perlado Catalina,6/15/2024,9/19/2024,0.9682349706,2,0.75,0.8076156503,120.1817152
Claire Berwick,10/13/2024,12/1/2024,0.96836911,4,0.25,0.8070901957,88.125
Kelly Duggan,12/7/2024,12/7/2024,0.9683937857,1,0.75,0.6626130003,105.4333333
Anna R.,4/25/2024,12/17/2024,0.968415428,2,0.25,0.7399645165,82.725
Tiago Rodas,6/29/2024,6/29/2024,0.9684989305,1,0.75,0.9012923663,136.3636364
Juliane Cassidy,2/8/2025,2/8/2025,0.9685525308,1,0.25,0.830304219,64.48333333
Julieth Párraga Moya,7/26/2024,7/26/2024,0.9686306104,1,0.75,#NUM!,165.9292035
Sandra Mira Pina,2/8/2025,2/8/2025,0.9686438326,1,0.75,0.7221924397,187.5
Tom Murabito,5/4/2024,5/4/2024,0.9686451436,1,0.5,0.7959826076,113.0833333
Stephanie Burgess,8/10/2024,8/10/2024,0.9691992937,1,0.75,0.8015661086,98.65
Shannon Anderson,8/17/2024,12/25/2024,0.9694172095,3,0.4166666667,0.7750325569,104.4777778
Cecilia Frew,6/1/2024,2/8/2025,0.9694238468,11,0.2954545455,0.8697857213,93.67878788
Elen Funk,10/5/2024,10/5/2024,0.9695883103,1,0.75,0.6850588247,183.6734694
Maged Halim Salib,7/20/2024,7/20/2024,0.9697264819,1,0.75,#NUM!,216.6064982
Kathryn Jackson,5/18/2024,9/27/2024,0.9698135765,2,0.5,0.9078666864,102.35
Kimberly Jarosch,1/26/2025,1/26/2025,0.9698644586,1,1,0.8124605919,106.3166667
Sloane Robinson,9/7/2024,9/7/2024,0.9699166386,1,0.75,0.9146474431,130.7189542
Nici Hinkel,4/13/2024,2/8/2025,0.970022976,10,0.25,0.8569829362,91.325
Julia Wright,11/2/2024,11/2/2024,0.9700379685,1,0.75,0.9382762615,105.95
Malin Edlund,3/9/2024,3/9/2024,0.9703136085,1,0.75,0.6661294073,95.25
Erin Bahr,2/21/2025,2/21/2025,0.970455544,1,0.5,0.9560858073,88.75
Åsa Sandahl,3/9/2024,3/9/2024,0.9706531758,1,0.75,0.6661294073,95.28333333
Joana França,6/29/2024,6/29/2024,0.9707050784,1,0.75,0.9012923663,136.6742597
Olivia L.,4/16/2024,4/16/2024,0.9707782247,1,0.25,0.6470423881,79
Marie Ullevålseter,4/16/2024,4/16/2024,0.9707782247,1,0.25,0.6470423881,79
Céline Dartois,6/13/2024,10/1/2024,0.9709470568,2,0.25,0.8084133531,87.13333333
John Trutt,8/4/2024,8/4/2024,0.9710536874,1,0.5,0.6644720186,115.25
Angels Salvador González,10/19/2024,10/19/2024,0.9711864008,1,0.75,0.8700929666,189.8734177
Sarah Schlosser,9/14/2024,9/14/2024,0.9713697678,1,0.5,0.8469665926,94.95
Therese O'Meara,1/26/2025,1/26/2025,0.9713848606,1,1,0.8124605919,106.4833333
Olivia Wasdin,1/10/2025,1/10/2025,0.9715753243,1,0.5,0.9264999543,89.23333333
Stacie Bartholow,3/9/2024,10/19/2024,0.971673402,7,0.3055555556,0.862423784,93.72777778
Lena Koopmann,9/18/2024,9/18/2024,0.971859598,1,0.75,0.7845964089,108.6956522
Tara Anderson,10/12/2024,10/12/2024,0.9719071068,1,0.5,0.7989872303,111.6833333
Heidi Siipola,5/18/2024,5/18/2024,0.9719335999,1,0.75,0.8569796897,195.4397394
Cristina Ruiz Cruz,6/15/2024,6/15/2024,0.9722824379,1,0.625,0.8884098359,135
Vroni B.,6/13/2024,11/7/2024,0.9723802965,4,0.25,0.7875819316,79.03333333
Maria Qvarnström,3/9/2024,3/9/2024,0.9726905797,1,0.75,0.6661294073,95.48333333
Daniela Spano,7/20/2024,2/8/2025,0.9727968981,15,0.2833333333,0.8604792339,90.36555556
Lucía Pilar Varela Ojeda,9/19/2024,9/19/2024,0.9730279194,1,0.75,0.8167563493,142.4050633
Alisandra Jezek,3/9/2024,2/8/2025,0.973063411,17,0.3289473684,0.8564842135,88.98148148
Rehab Lakany,7/20/2024,7/20/2024,0.9732399837,1,0.75,#NUM!,217.3913043
Reham Mahmoud Morsi,7/20/2024,7/20/2024,0.9732399837,1,0.75,#NUM!,217.3913043
Mathieu Cardoso,9/19/2024,9/19/2024,0.9732854261,1,0.75,0.8167563493,116.2790698
Emily Delaney,10/12/2024,2/1/2025,0.973296218,2,0.625,0.8656370682,106.5216814
Louise Thorpe,9/18/2024,9/18/2024,0.9739229521,1,0.75,0.8342361674,75.58333333
Mildred Boothe,6/21/2024,6/21/2024,0.973952008,1,0.5,0.9335207848,109.8833333
Véronique Gölz,10/5/2024,2/8/2025,0.9739565359,2,0.75,0.7570087383,137.0422355
Noemie Geulin,9/18/2024,9/18/2024,0.9742127689,1,0.75,0.7845964089,108.9588378
Kathleen Erickson,8/10/2024,8/10/2024,0.9742753502,1,0.75,0.8015661086,99.16666667
Peter Jones,3/22/2024,3/22/2024,0.9743404543,1,0.75,0.8868433426,136.0544218
Katharina Edlinger,2/8/2025,2/8/2025,0.9743497781,1,0.75,0.828958652,89.83333333
Chantal C,10/31/2024,10/31/2024,0.9747509984,1,0.25,0.7759306018,88.53333333
Stephanie Weisner,9/14/2024,10/26/2024,0.9747662013,4,0.5,0.8983875632,102.7791667
Natalie Bartling,8/17/2024,9/14/2024,0.9751494917,2,0.25,0.8454926873,90.94166667
Maude Bettez,5/4/2024,10/19/2024,0.975544759,2,0.5,0.8816945894,80.85
Angela Soto Carreira,6/29/2024,1/18/2025,0.975802077,2,0.75,0.8456705836,131.0690677
Miguel Torres Vila,6/15/2024,6/15/2024,0.9759213701,1,0.75,0.8884098359,135.6166667
Roald Koornneef,9/19/2024,11/23/2024,0.9760480302,2,0.75,0.7607757355,93.9
Caroline Bouffard,5/4/2024,5/4/2024,0.9763930597,1,0.75,0.8894414436,87.925
Amanda Collman,1/11/2025,2/8/2025,0.9764222577,2,0.25,0.8466087295,86.15
Yannika Basedow,2/8/2025,2/9/2025,0.9766163644,2,0.75,0.722572025,96.55498787
Marwa Hassan Abdo Elrais,7/20/2024,7/20/2024,0.9767790382,1,0.75,#NUM!,218.1818182
Becky Gutierrez,3/22/2024,3/22/2024,0.976945841,1,0.75,0.8680353545,103.8333333
McCall Barden,10/18/2024,1/11/2025,0.9772668982,3,0.3333333333,0.8833718888,84.94444444
Barbara M.,10/13/2024,12/17/2024,0.9772811158,2,0.25,0.772314,87.75
Nicola Paston,7/20/2024,7/20/2024,0.9773264257,1,0.75,0.82879534,115.2
Angela Champagne,1/26/2025,1/26/2025,0.9774664688,1,1,0.8124605919,107.15
Pattie Mathieu,3/9/2024,2/8/2025,0.9775613677,16,0.3157894737,0.8669902865,92.42058824
Sarah Lober,10/5/2024,10/5/2024,0.977568461,1,0.75,0.6850588247,185.1851852
Laura Pedraza Sepulveda,9/19/2024,9/19/2024,0.9783414543,1,0.75,0.8167563493,116.8831169
Nina Budimcic,3/23/2024,3/23/2024,0.9784203571,1,0.4375,0.9190267693,107.2444444
Paweł Czaja,9/19/2024,9/19/2024,0.9785222136,1,0.75,0.7268214647,104.7453704
Aurélie Daunizeau,9/19/2024,9/19/2024,0.9785222136,1,0.75,0.7268214647,104.7453704
Bri Lempesis,3/22/2024,3/22/2024,0.9785608202,1,0.75,0.8236432317,115.55
Annika Petersen,10/5/2024,2/8/2025,0.9791965675,2,0.75,0.7157998914,141.7166667
Jeanette Rasmussen,6/1/2024,6/1/2024,0.9792815909,1,0.75,0.7426757369,96.8
Anna Vuorinen,5/8/2024,12/17/2024,0.9792874982,7,0.25,0.7900788577,86.38095238
Žanna Brokane,9/18/2024,9/18/2024,0.9793477055,1,0.75,0.8088171996,111.0482563
Martha Rafferty,10/13/2024,10/13/2024,0.9795960084,1,0.25,0.7737911418,87.81666667
Valeriia Chernysh,11/23/2024,11/23/2024,0.979713854,1,0.75,0.7202376004,106.0833333
Judit,10/31/2024,12/1/2024,0.9801141052,4,0.25,0.7948574247,93.0625
Amber-lea Lobl,2/8/2025,2/8/2025,0.9803195311,1,0.5,0.869217981,80.18333333
Doha Sadek Hamdollah,7/20/2024,7/20/2024,0.9803439252,1,0.75,#NUM!,218.9781022
Cornelia Störl,10/5/2024,2/8/2025,0.9807986552,2,0.75,0.7157998914,141.9297619
Pontus Lindqvist,9/19/2024,9/19/2024,0.9808892185,1,0.75,0.8167563493,117.1875
Heather Haynes-O’Brien,3/22/2024,3/22/2024,0.9811176303,1,0.75,0.8236432317,103.65
Fleur,11/19/2024,11/19/2024,0.981119482,1,0.25,0.8260241087,96.06666667
Henriette Selter,6/1/2024,6/1/2024,0.9812913912,1,0.75,0.891423751,108.5172481
Nelly Carole Mobby,9/18/2024,9/18/2024,0.981341155,1,0.75,0.7845964089,109.7560976
