Player,First Event Date,Latest Event Date,Latest JPAR Out,Total Events,Ave Weighted JPAR Contribution,Ave Competition Strength,12-Month Avg Completion Time
Raquel Plensa Puigbó,6/15/2024,6/15/2024,0.2295877914,1,0.75,0.8884098359,80.5
Gabriel Moreno Turcu,3/16/2024,2/8/2025,0.2886215985,12,0.7352941176,0.8729766164,44.84305556
Haruka Soku,12/7/2024,12/7/2024,0.3061050346,1,0.75,0.9371907605,46.98333333
Molly Weiring,10/12/2024,10/12/2024,0.3094996939,1,0.5,0.783371577,100.75
Natsuko Moriwaki - 奈都子,12/7/2024,12/7/2024,0.316203569,1,0.75,0.9371907605,48.53333333
Alejandro Clemente León,4/25/2024,10/19/2024,0.318963841,12,0.6052631579,0.7409008293,40.87307692
Amal Gamal,7/20/2024,7/20/2024,0.320,1,0.75,#NUM!,71.36666667
Imane Hamada,7/20/2024,7/20/2024,0.3222624675,1,0.75,#NUM!,71.98333333
Andrés Felipe Muñoz Triviño,1/2/2025,1/2/2025,0.330,1,0.75,0.8596302889,66.9
Tracy Nonomura,5/4/2024,5/4/2024,0.3392461044,2,0.75,0.7121918417,46.29166667
Manuel Espinosa Torres,3/23/2024,2/8/2025,0.3475014698,11,0.7708333333,0.7900344786,54.96666667
Soraya Pérez Carayol,3/23/2024,2/8/2025,0.3529468232,11,0.75,0.7982103772,53.07878788
Mariko Haya,12/7/2024,12/7/2024,0.358,1,0.75,0.9371907605,55
Weronika Huptas,9/18/2024,9/21/2024,0.3616097682,3,0.9166666667,0.6286176479,38.74444444
Miguel Moratiel De la Varga,5/11/2024,2/8/2025,0.3674214779,6,0.75,0.8171718576,63.24722222
Emilie Therrien,10/19/2024,10/19/2024,0.369449073,1,0.25,0.8032310537,33.75
Krystian Niedziela,7/28/2024,2/11/2025,0.371,9,0.4722222222,0.744135785,40.49444444
Kaoru Nagaoka,12/7/2024,12/7/2024,0.3762518429,1,0.75,0.9371907605,57.75
Alejandro Heras Gago,3/16/2024,12/28/2024,0.3792463963,3,0.6875,0.9125746074,61.08333333
Brenda Paola Sánchez Reyes,1/2/2025,1/2/2025,0.3795231791,1,0.75,0.8596302889,76.96666667
Alejandro Clemente Leon,10/13/2024,10/13/2024,0.3803859239,1,0.25,0.7737911418,34.1
Mercédesz Arthofer,9/19/2024,9/21/2024,0.3829662111,3,0.8333333333,0.6797466449,41.14722222
Rebeka Konute,10/12/2024,10/12/2024,0.384,1,0.5,0.783371577,125.0166667
Sam Hobbes,5/4/2024,5/4/2024,0.3842786479,1,0.75,0.8398926475,63.68333333
Laura Aizpurua De Arteche,1/25/2025,1/25/2025,0.3893889009,1,0.75,0.9231612522,57.18333333
Sofie Borre,10/12/2024,10/12/2024,0.390,1,0.5,0.783371577,127.1
Ann-Lovise Esbjörnsson,10/12/2024,10/12/2024,0.3905993655,1,0.5,0.783371577,127.15
Sandra Girgis Danial,7/20/2024,7/20/2024,0.392,1,0.75,#NUM!,87.55
Lina Ivanova,9/19/2024,9/21/2024,0.3926358129,3,0.9166666667,0.6385336213,42.05
Maríana Mendes,6/15/2024,6/15/2024,0.3937507506,1,0.75,0.8884098359,54.71666667
Hayley Soontiens,5/4/2024,5/4/2024,0.3967493499,1,0.75,0.8398926475,65.75
Daniela De Oliveira Dinato,10/19/2024,1/2/2025,0.4010978103,2,0.75,0.9354004183,47.275
Linaya Van Donkersgoed,5/4/2024,5/4/2024,0.4021801395,1,0.75,0.8398926475,66.65
Catalina Restrepo Tobon,1/2/2025,1/2/2025,0.4024523621,1,0.75,0.8596302889,81.61666667
Selma Kristersson,10/12/2024,12/19/2024,0.404,2,0.375,0.7609818873,86.99166667
Mariam Ragab Mahmoud,7/20/2024,7/20/2024,0.4052344203,1,0.75,#NUM!,90.51666667
Katharina Reiner,9/1/2024,2/9/2025,0.4066445737,11,0.6071428571,0.7344519844,43.74242424
Markéta Freislerová,5/16/2024,9/21/2024,0.4080611302,4,0.75,0.6852168748,47.36666667
Julien Kiguchi,12/7/2024,12/7/2024,0.409,1,0.75,0.9371907605,62.73333333
Mª Dolors Torra Torreguitart,6/15/2024,6/15/2024,0.409,1,0.625,0.8884098359,59.2
Alice Rowe,3/22/2024,9/21/2024,0.4133827765,6,0.8333333333,0.7044320196,45.05
Kristin Thuv,4/25/2024,1/15/2025,0.4134221536,14,0.5131578947,0.7537224096,36.77261905
Kelly Walter,3/9/2024,12/6/2024,0.414,11,0.5113636364,0.7541262171,45.49722222
Taisiya Voronova,9/19/2024,9/21/2024,0.414,3,0.9166666667,0.6333861283,40.06666667
Tereza Koptíková,4/25/2024,11/19/2024,0.416,7,0.625,0.7242619273,42.51190476
Bonnie Söderström,10/12/2024,10/12/2024,0.417,1,0.5,0.783371577,135.7
Tina Ko,12/7/2024,12/7/2024,0.418,1,0.75,0.6626130003,45.5
Natalia Sofía Cardona Granda,1/2/2025,1/2/2025,0.419,1,0.75,0.8596302889,84.93333333
Alicia Benet Gil,10/19/2024,10/19/2024,0.4191672879,1,0.75,0.8700929666,81.95
Jaxeline Blanco Ruiz,6/15/2024,11/16/2024,0.421,2,0.71875,0.8740971652,53.98333333
Tyra Weiring,3/9/2024,11/23/2024,0.422,7,0.7857142857,0.668761633,49.85238095
Katrina Coleman,9/19/2024,12/7/2024,0.423,4,0.8214285714,0.6406928463,42.0875
Laura Aranguren Sanz,6/15/2024,6/15/2024,0.4229173514,1,0.6666666667,0.8884098359,55.6
Stephanie O’Dell,5/4/2024,5/4/2024,0.425,2,0.75,0.7121918417,58.2
Melodie Johnson,9/7/2024,9/7/2024,0.425,1,0.75,0.9146474431,57.31666667
Sandy Wong,5/4/2024,5/4/2024,0.426,2,0.75,0.7121918417,58.30833333
Pedro Tavares Cruz,2/23/2025,2/23/2025,0.4258131495,1,0.75,0.9551746514,56.7
Alma Belle Baharal,6/15/2024,11/16/2024,0.4274306981,2,0.75,0.8740971652,61.775
Melissa Townsend,9/18/2024,12/7/2024,0.4276107424,4,0.8214285714,0.637116486,45.26666667
Gisela Arranz Toro,3/2/2024,9/21/2024,0.4289809315,5,0.7692307692,0.7683081066,48.25
Denise Bode,2/8/2025,2/9/2025,0.4301053813,2,0.75,0.6813631781,44.15
Aya Ahmed Mahmoud El,7/20/2024,7/20/2024,0.431,1,0.75,#NUM!,96.25
Francisco Fernández Peláez,6/15/2024,6/15/2024,0.4311909959,1,0.6666666667,0.8884098359,103.6166667
Conner DeLaat,5/11/2024,2/8/2025,0.4316641976,14,0.2678571429,0.7992259351,46.94761905
Meritxell Dalmau Diviu,6/15/2024,6/15/2024,0.432,1,0.75,0.7434511044,62.34166667
Emma Cheung,12/7/2024,12/7/2024,0.4326084158,1,0.75,0.6626130003,47.1
Wiktor Kacprzak,6/27/2024,2/16/2025,0.433,23,0.3586956522,0.7750644551,41.96956522
Susana Pérez Van Deenen,3/23/2024,5/11/2024,0.4342403583,2,0.75,0.7738974707,61.61666667
Inés Martín Cruz,3/16/2024,6/15/2024,0.434,2,0.6875,0.859192147,76.15
Reuben Baker,5/4/2024,5/4/2024,0.4343249843,2,0.75,0.7121918417,59.675
Cathy Roiter,3/9/2024,9/21/2024,0.435,9,0.7115384615,0.7447543401,45.37564103
Katie Keefe,5/4/2024,5/4/2024,0.4347648769,1,0.75,0.8398926475,72.05
Chigako Kiyohara,12/7/2024,12/7/2024,0.435,1,0.75,0.9371907605,66.83333333
Lara Rebekka Friedrich,10/5/2024,2/9/2025,0.4358411254,3,0.75,0.6825950603,57.45
Irene Rodríguez Merchante,6/15/2024,1/25/2025,0.4370515225,2,0.75,0.905785544,60.65833333
Alison Jacobs,7/20/2024,7/20/2024,0.437,1,0.75,0.82879534,51.51666667
Natalia Reyes Reina,7/26/2024,1/2/2025,0.4371648787,2,0.75,#NUM!,74.70833333
Pablo Eixea Peris,10/19/2024,10/19/2024,0.438,1,0.75,0.8700929666,85.55
Sarah Mosad Mohamed,7/20/2024,7/20/2024,0.4383635093,1,0.75,#NUM!,97.91666667
Morgan Goodfellow,5/4/2024,5/4/2024,0.4392905349,1,0.75,0.8398926475,72.8
Mia Oehmig,9/18/2024,9/21/2024,0.440,3,0.9166666667,0.6286176479,47.24444444
Grayson Shannon,8/3/2024,8/10/2024,0.4399210864,2,0.75,0.8572636575,49.05833333
Kholoud Akram,7/20/2024,7/20/2024,0.4415719571,1,0.75,#NUM!,98.63333333
Finn Parker,9/19/2024,9/21/2024,0.4419787293,3,0.9166666667,0.6085553264,45.87777778
Sarah Lorensini,12/7/2024,12/7/2024,0.443,1,0.75,0.6626130003,48.18333333
Jana Ondroušková,9/19/2024,9/21/2024,0.4427636042,3,0.8333333333,0.6333861283,42.68888889
Chad Smithson,5/4/2024,5/4/2024,0.443,2,0.75,0.7121918417,60.96666667
Lauren Kautz,3/9/2024,2/7/2025,0.444,16,0.4,0.7648735253,46.24215686
Lisa Cruz,9/19/2024,9/21/2024,0.4442222552,3,0.8333333333,0.6673312439,50.38333333
Barbara Dufour,5/4/2024,10/19/2024,0.444,3,0.5833333333,0.7425382457,55.5
Valeria Brenes Rodríguez,1/2/2025,1/2/2025,0.445,1,0.75,0.8596302889,90.2
Kateřina Klinková,9/19/2024,9/21/2024,0.445,3,0.8333333333,0.6333861283,42.65
Laura Aizpurua de Arteche,6/15/2024,9/21/2024,0.445,4,0.7708333333,0.7066044542,48.88571429
Maja Von Borstel,9/19/2024,2/9/2025,0.446,5,0.85,0.6721489827,46.46333333
Kate Garrow,12/7/2024,12/7/2024,0.446,1,0.75,0.6626130003,48.58333333
Hannah Farthing,9/18/2024,12/7/2024,0.446295722,4,0.8214285714,0.637116486,48.35833333
Nina Schicks,8/29/2024,2/9/2025,0.4464971697,8,0.4375,0.7544354182,48.525
Erika Skarupskė,9/18/2024,9/21/2024,0.4467596462,3,0.8333333333,0.6769422887,47.56111111
Mª Jimena Gordillo Uribe,6/15/2024,6/29/2024,0.447228665,2,0.6666666667,0.90908354,62.05833333
Catie Dulude Sicard,4/13/2024,12/7/2024,0.4482516223,9,0.5277777778,0.8256611437,50.02777778
Klara Wesselkamp,6/1/2024,2/9/2025,0.448762279,7,0.8214285714,0.6704599433,47.69285714
Raquel Moreno Soler,3/23/2024,2/8/2025,0.4488732898,7,0.7272727273,0.8086184885,70.82142857
Fatema Nasr,7/20/2024,7/20/2024,0.4497049993,1,0.75,#NUM!,100.45
Brigitta Vinkler,9/19/2024,9/21/2024,0.4503428629,3,0.8125,0.6613144098,47.33333333
Beatriz Amézquita Buenaventura,7/26/2024,1/2/2025,0.451151768,2,0.75,#NUM!,81.425
Heather Franklin-Tulipano,5/4/2024,5/4/2024,0.4519623773,1,0.75,0.8398926475,74.9
Stefanie Bühler,5/18/2024,2/9/2025,0.4524011442,7,0.8214285714,0.6950088338,56.64761905
Jeanne Roiter,3/9/2024,1/26/2025,0.453,11,0.7166666667,0.7659929035,44.31111111
Eduardo Moreno Turcu,3/16/2024,2/8/2025,0.4539696983,11,0.7352941176,0.8575394115,75.8469697
Emma Quirke,9/19/2024,11/28/2024,0.4542806542,4,0.75,0.650154886,47.37916667
Leonie Thomas,12/7/2024,12/7/2024,0.4544990752,1,0.75,0.6626130003,49.48333333
Chiara Dellantonio,4/16/2024,2/9/2025,0.455,30,0.4142857143,0.7617832555,45.88333333
Katarina Svensson,3/9/2024,3/9/2024,0.4555527079,2,0.75,0.6387819343,42.15
Mariia Matiushkina,9/19/2024,9/21/2024,0.4565130868,3,0.9166666667,0.6085553264,47.88888889
Paula Morales Barrón,6/15/2024,11/16/2024,0.4567720685,3,0.71875,0.850017242,66.13333333
Bree Rebeiro,12/7/2024,12/7/2024,0.4577137874,1,0.75,0.6626130003,49.83333333
Natalia Ptaszek,9/18/2024,9/21/2024,0.459,3,0.9166666667,0.6286176479,48.43888889
Kate Urmston,12/7/2024,12/7/2024,0.460,1,0.75,0.6626130003,50.03333333
Cristina Escribano Granados,6/15/2024,6/15/2024,0.460,1,0.625,0.8884098359,66.31666667
Ana Gil Luciano,5/4/2024,9/21/2024,0.461,5,0.7692307692,0.7081472166,48.475
Francisco José Ruiz Pérez,3/16/2024,1/25/2025,0.461,10,0.8,0.8065674263,63.53833333
Rose Fortman,6/21/2024,6/21/2024,0.461,1,0.5,0.9335207848,52.06666667
Catalina Duarte Vallejo,7/26/2024,1/2/2025,0.4617824685,2,0.75,#NUM!,79.66666667
Lara Friedrich,9/19/2024,9/21/2024,0.4631744572,3,0.8333333333,0.6668325743,52.30277778
Kathi Reiner,11/4/2024,2/5/2025,0.4633445624,11,0.25,0.7617910351,47.09090909
Sergio Fernández Quesada,10/19/2024,2/8/2025,0.4637540235,4,0.75,0.7911150912,80.49583333
Jörn Schreiber,10/5/2024,10/5/2024,0.4649804385,1,0.75,0.6850588247,88.08333333
Tania Lendinez De la Llave,5/4/2024,6/15/2024,0.4651098909,2,0.6666666667,0.8747202372,62.35833333
Christen Mulder,5/4/2024,5/4/2024,0.4651140974,2,0.75,0.7121918417,63.975
Amy Cripps,12/7/2024,12/7/2024,0.4652147826,1,0.75,0.6626130003,50.65
Shea Burkett,1/4/2025,2/1/2025,0.4652708822,2,0.375,0.9023391662,49.075
Megan Sloka,5/4/2024,5/4/2024,0.4652716791,2,0.75,0.7723245805,42.15833333
Iria Rodríguez Baño,6/29/2024,6/29/2024,0.465,1,0.75,0.9012923663,65.51666667
Lorenzo Dalla Valle,9/18/2024,9/21/2024,0.466,3,0.8333333333,0.6773624046,50.33333333
Carlos Teixeira,6/29/2024,6/29/2024,0.4670962731,1,0.75,0.9012923663,65.76666667
Lydia Holmgren,3/9/2024,9/21/2024,0.468,5,0.85,0.6326833624,47.39
Noelia López Ibáñez,11/23/2024,11/23/2024,0.4693199918,1,0.75,0.8105910354,208.3333333
Jessica Millar,5/4/2024,5/4/2024,0.469,1,0.75,0.8398926475,77.8
Rhianna Eriksen,9/18/2024,12/7/2024,0.4701269122,4,0.875,0.6455115633,47.05833333
Maja von Borstel,1/28/2025,1/28/2025,0.470,1,0.25,0.7498627547,47.1
Meghan Kelly,5/4/2024,5/4/2024,0.4706684303,1,0.75,0.8398926475,78
Jane Stine,2/21/2025,2/21/2025,0.471,1,0.5,0.9527777409,40.76666667
Christyan Rosas García,10/19/2024,10/19/2024,0.471,1,0.75,1.011170548,67.46666667
Émilie Therrien,9/28/2024,2/22/2025,0.4714070866,3,0.5,0.9256547496,40.15
Naiara Acebo Álvarez,6/15/2024,6/15/2024,0.472,1,0.625,0.8884098359,67.36666667
Mari Black,3/9/2024,2/8/2025,0.472,41,0.3405172414,0.7925671093,45.35079365
Marta Lapina,9/19/2024,9/21/2024,0.473,3,0.9166666667,0.6385336213,50.73888889
Rodrigo Javier López Farias,10/19/2024,10/19/2024,0.4735725929,1,0.75,1.011170548,67.86666667
Sarah Maclean,5/4/2024,5/4/2024,0.4735849654,1,0.75,0.8398926475,78.48333333
Liam Kearns,7/27/2024,2/22/2025,0.4736349108,8,0.5,0.8750632547,50.83125
Viktória Gyüre,9/18/2024,9/21/2024,0.4749713227,3,0.9166666667,0.645164234,45.74444444
Coral Cervantes Domínguez,5/4/2024,1/25/2025,0.475,9,0.75,0.8441608094,61.63148148
Charlotte Glass,7/20/2024,7/20/2024,0.478,1,0.75,0.82879534,56.33333333
Maria-Magdalena Robrecht,9/18/2024,2/9/2025,0.4779788553,5,0.85,0.6646046645,47.31666667
Abdullah Atef,7/20/2024,7/20/2024,0.4780587241,1,0.75,#NUM!,106.7833333
Hanna Lehikoinen,4/16/2024,2/11/2025,0.478,26,0.3365384615,0.7510353536,45.93012821
Melanie Dietrich,12/7/2024,12/7/2024,0.4794513653,1,0.75,0.6626130003,52.2
Mohammed Sayed,7/20/2024,7/20/2024,0.4798494857,1,0.75,#NUM!,107.1833333
Pedro Miguel Martins Tavares Cruz,6/29/2024,6/29/2024,0.480,1,0.75,0.9012923663,67.63333333
Vicente Blasco Casanova,10/19/2024,10/19/2024,0.480,1,0.75,0.8700929666,222.5519288
Tiffany Medeiros,3/9/2024,1/27/2025,0.480,23,0.38,0.7833879277,49.4
Annemie Kostezer,3/9/2024,2/9/2025,0.481,5,0.6875,0.6717819719,50.24666667
Laura Roldán Tovar,11/16/2024,12/28/2024,0.481,2,0.75,0.8776569453,72.49166667
Claudia Carnicero Verde,6/15/2024,12/28/2024,0.481,6,0.8055555556,0.7352437678,59.67222222
Pedro Falomir Muñoz,3/23/2024,2/8/2025,0.4820364272,6,0.75,0.8215557805,79.65277778
Laila Essam Tawfik El,7/20/2024,7/20/2024,0.482,1,0.75,#NUM!,107.75
Laura Dóra Bíró,9/18/2024,9/21/2024,0.4824753805,3,0.9166666667,0.6286176479,51.32222222
Martyna Halter-Bogołębska,9/18/2024,9/21/2024,0.4827083295,3,0.8333333333,0.6829591228,57.13611111
Juan Carlos Gómez Galán,6/15/2024,6/15/2024,0.484,1,0.625,0.8884098359,67.53333333
Sofia Barros,6/29/2024,6/29/2024,0.485,1,0.75,0.9012923663,68.25
Maartje van der Meer,10/1/2024,1/28/2025,0.4850770042,6,0.25,0.7806281908,46.49722222
Amanda Helin,3/9/2024,9/21/2024,0.4853920723,5,0.85,0.6326833624,51.23666667
Marion Cordier,9/19/2024,9/21/2024,0.4857352732,3,0.9166666667,0.6333861283,47.48888889
Juan Manuel Gutiérrez Herrera,7/26/2024,1/2/2025,0.4859264786,2,0.75,#NUM!,85.79166667
João Lucas Rolla,6/29/2024,6/29/2024,0.4861541798,1,0.75,0.9012923663,68.45
Emma Pan,3/22/2024,2/8/2025,0.486,16,0.4880952381,0.7961872399,48.39074074
Hanna Sigler,3/9/2024,2/21/2025,0.487,16,0.375,0.8051046089,50.92083333
Richard Puro,4/20/2024,4/20/2024,0.487,1,0.5,0.8970621609,73.81666667
Merle Kleemann,9/19/2024,2/9/2025,0.487,5,0.85,0.655665444,51.50333333
Andrea Peng,3/9/2024,2/11/2025,0.488,38,0.39,0.7801513381,46.41535088
Valerie Cunningham,9/7/2024,9/7/2024,0.488,1,0.75,0.9146474431,65.81666667
Becca Taylor,3/9/2024,2/8/2025,0.4884120466,28,0.38,0.7890119417,48.92444444
Alejandro Clemente,12/1/2024,12/1/2024,0.489,1,0.25,0.8245112992,39.08333333
Antonio Parra Haro,6/29/2024,1/18/2025,0.4899803789,3,0.75,0.8503752206,66.36111111
Amke Eggers,9/18/2024,2/9/2025,0.491,6,0.8333333333,0.6597403981,58.30408998
Juan José Muñoz Correa,7/26/2024,1/2/2025,0.4915658166,2,0.75,#NUM!,86.89166667
Ryan Hansen,5/4/2024,5/4/2024,0.492,1,0.75,0.8398926475,81.58333333
Silvia Torres Piedras,5/11/2024,2/8/2025,0.4932460964,4,0.75,0.7712160164,86.5
Verónica Fontbona Fernández,6/15/2024,9/20/2024,0.493,3,0.75,0.7491743466,62.14444444
Yuho Baba,12/7/2024,12/7/2024,0.4933079718,1,0.75,0.9371907605,75.71666667
María Camila Fierro Chiriboga,7/26/2024,1/2/2025,0.4941541639,2,0.75,#NUM!,87.85
Aroa Pérez Martínez,1/18/2025,1/18/2025,0.4941902855,1,0.75,0.7615839232,62.03333333
Andrea Macecek,9/14/2024,9/14/2024,0.4951839318,1,0.5,0.8367423413,55.93333333
Raquel Pérez Mesón,6/15/2024,1/25/2025,0.495228259,2,0.7222222222,0.905785544,59.25
Nym L. Colpart,9/19/2024,9/21/2024,0.495,3,0.9166666667,0.6085553264,51.83333333
Sandra Kunnen,9/18/2024,9/21/2024,0.4956104591,3,0.8333333333,0.6676073434,50.90833333
Sarah Schuler,3/11/2024,10/12/2024,0.496,8,0.4903846154,0.7312553653,54.23787879
Taaron Vainio,5/4/2024,10/19/2024,0.497,2,0.5,0.8215618506,66.18333333
Colleen Dunne,5/11/2024,10/12/2024,0.4970063268,7,0.6785714286,0.7501113091,52.61428571
Šárka Červinková,9/18/2024,9/21/2024,0.4970182209,3,0.8333333333,0.6701478806,50.425
Lenka Henao Mišíková,8/29/2024,2/11/2025,0.497,18,0.4166666667,0.7588619555,46.72222222
Noah Vaupel,1/26/2025,1/26/2025,0.4976275863,1,1,0.8124605919,54.55
Nada Khaled Eid Ell,7/20/2024,7/20/2024,0.498,1,0.75,#NUM!,111.1833333
Laura Pescher,9/19/2024,2/9/2025,0.4982510465,6,0.8055555556,0.6605643408,58.56666667
Hannah Doyle,11/16/2024,1/11/2025,0.4984413496,2,0.5,0.8364260145,52.875
Ana Rita Ferreiro Manso de Araújo,6/29/2024,6/29/2024,0.498,1,0.75,0.9012923663,70.18333333
Ana C. Siverio Pares,6/15/2024,6/15/2024,0.499,1,0.625,0.8884098359,68.8
Verena Klauser,9/19/2024,2/16/2025,0.4985948909,16,0.4375,0.7333207176,49.871875
Karly Ells,5/4/2024,5/4/2024,0.498694248,2,0.6875,0.7163211052,51.34583333
Hana Pasha,7/20/2024,7/20/2024,0.4990255575,1,0.75,#NUM!,111.4666667
Devon Donaldson,3/23/2024,2/22/2025,0.499,18,0.5333333333,0.7980087829,49.20555556
Tereza K.,12/1/2024,2/16/2025,0.499,2,0.25,0.8154687363,38.13333333
Sjelle Hiebner,9/18/2024,9/21/2024,0.4993764885,3,0.9166666667,0.6286176479,51.78888889
Ole Marton Ølberg,6/8/2024,9/21/2024,0.499,4,0.8055555556,0.6823415359,50.56666667
Mariandrea Cruz Sánchez,7/26/2024,1/2/2025,0.500,4,0.8125,#NUM!,64.35
Rhys Dewar,5/4/2024,12/7/2024,0.5010366896,5,0.8,0.7192246571,49.74666667
Daniel Krummenacker,9/18/2024,9/21/2024,0.5014089133,3,0.9166666667,0.6286176479,52.82222222
Judith Moreno Vallès,6/15/2024,6/15/2024,0.5014535146,1,0.75,0.8884098359,69.68333333
Adriana Maria Zuluaga Rojas,7/26/2024,1/2/2025,0.501893063,2,0.75,#NUM!,88.05
Inge Sinot,5/2/2024,2/16/2025,0.503,32,0.3203125,0.7716660212,45.6546875
Maja Willén,3/9/2024,9/21/2024,0.503,5,0.85,0.6427737778,48.61666667
Sarah Pelletier,9/28/2024,10/19/2024,0.5034693017,2,0.375,0.9475439105,46.63333333
Deborah Forsythe,12/7/2024,12/7/2024,0.504,1,0.75,0.6626130003,54.83333333
Emilia Korhonen,5/2/2024,2/16/2025,0.504,18,0.4642857143,0.7693908293,55.81759259
Karen Kavett,3/9/2024,2/8/2025,0.5051057345,19,0.4833333333,0.8078961123,52.53253968
Rachel Birrell,12/7/2024,12/7/2024,0.5054752261,1,0.75,0.6626130003,55.03333333
Xiomara López Martínez,3/23/2024,2/8/2025,0.506,8,0.75,0.81305347,85.3
Rowan Versteege,5/30/2024,2/9/2025,0.5064773847,8,0.625,0.7217851518,49.6375
Robyn Cleary,12/7/2024,12/7/2024,0.507,1,0.75,0.6626130003,55.15
Vanda Varga,9/19/2024,9/21/2024,0.507,3,0.8333333333,0.7188149301,55.41944444
Emily Chandran,3/9/2024,2/8/2025,0.507,16,0.3951612903,0.7925752815,53.60490196
Hrefna Guðlaugardóttir,9/18/2024,9/21/2024,0.507,3,0.9166666667,0.6398110842,49.66111111
Rebecca Folino,12/7/2024,12/7/2024,0.508,1,0.75,0.6626130003,55.31666667
Demelza Becerra Robledillo,6/15/2024,6/15/2024,0.508,1,0.71875,0.7520502382,56.55416667
Agnès Graulle,4/16/2024,9/21/2024,0.5086464117,7,0.5357142857,0.6848561434,52.08095238
Vanesa Valdés Vivar,3/2/2024,7/6/2024,0.509,4,0.7083333333,0.8823473495,73.7875
Johanna Mª Van Deenen .,5/11/2024,5/11/2024,0.5096397515,1,0.75,0.7309947364,96.8
Liliana Borges Maciel,10/19/2024,10/19/2024,0.5098581158,1,0.75,1.011170548,73.06666667
José Manuel Corbí Garrido,3/2/2024,1/25/2025,0.510,8,0.75,0.8611085456,71.53125
Vicki Richardson,5/4/2024,5/4/2024,0.510,2,0.65,0.7697306708,49.64666667
Júlia Gobbo Lopes,9/19/2024,1/2/2025,0.510,3,0.75,0.8907049024,60.46111111
Mathew Nettlow,3/2/2024,1/27/2025,0.5113689068,2,0.4,0.8357473925,60.02083333
Emilce Zapata Vásquez,1/2/2025,1/2/2025,0.512,1,0.75,0.8596302889,103.75
Cornelia Spreitzer,9/18/2024,9/21/2024,0.5119428764,3,0.9166666667,0.6398110842,49.31666667
Diana Santillán Perosanz,3/16/2024,11/16/2024,0.512,9,0.734375,0.8653440106,66.88703704
Nathan Biberdorf,10/18/2024,1/26/2025,0.5126759685,2,0.875,0.9712805789,54.15
Andrea Kyle,3/9/2024,1/26/2025,0.513,19,0.4230769231,0.7923262446,54.5468254
Anna Kazana,9/19/2024,9/21/2024,0.5130007236,3,0.9166666667,0.6333861283,48.82222222
Elisabeth Merendi,9/18/2024,9/21/2024,0.5133167695,3,0.8333333333,0.6526228764,58.53888889
Sophie Helg,3/23/2024,2/8/2025,0.5137632827,11,0.5588235294,0.7538526727,48.63787879
Marita Broberg,9/19/2024,12/7/2024,0.5141634983,4,0.875,0.6406928463,50.59583333
Astrid Roesen Abildgaard,3/9/2024,12/19/2024,0.5145754658,11,0.6136363636,0.6911020151,49.90757576
Mara Holler,9/19/2024,2/9/2025,0.515,6,0.8333333333,0.6605643408,61.47777778
Julia Hildebrandt,9/18/2024,2/9/2025,0.5150348868,5,0.8125,0.6613927746,50.6
Edmond Boutry,9/18/2024,9/21/2024,0.515,3,0.9166666667,0.6398110842,49.99444444
Antonia Albani,9/19/2024,2/9/2025,0.515,5,0.85,0.6541620058,53.08
Camille Auen,9/18/2024,2/9/2025,0.516,5,0.8125,0.6564319218,51.02666667
Ana Maria Barros,6/29/2024,6/29/2024,0.5166941794,1,0.75,0.9012923663,72.75
Christie Sototuka,9/19/2024,1/2/2025,0.517,5,0.85,0.7541918443,65.96668924
Saana Vainikka,5/18/2024,5/18/2024,0.517,1,0.75,0.8569796897,103.9666667
Lara Geppert,2/8/2025,2/9/2025,0.517,2,0.75,0.722572025,53.00833333
Charles Johnson,5/4/2024,10/19/2024,0.517,2,0.5,0.8215618506,73.95
Mariana Mendes,4/25/2024,9/21/2024,0.5176917365,11,0.5625,0.734655226,54.94880952
Lydia Nickel,2/8/2025,2/9/2025,0.5182642309,2,0.75,0.722572025,51.15
Rosa Frauenknecht,5/18/2024,9/21/2024,0.5184504236,4,0.875,0.6857081583,66.24166667
Anja Calise,8/3/2024,8/3/2024,0.5186610454,1,0.75,0.9129612063,63.18333333
Sémilia Baylé,9/19/2024,9/21/2024,0.5193107959,3,0.8333333333,0.6425917157,56.54444444
Maha Mouhamed Abo El,7/20/2024,7/20/2024,0.5198431608,1,0.75,#NUM!,116.1166667
Kyle Kossin,3/9/2024,2/8/2025,0.520,36,0.3973214286,0.7983041673,51.3018018
Jessa Douglas,3/22/2024,12/25/2024,0.521,7,0.6071428571,0.7839632028,55.85
Yvonne Yip,12/7/2024,12/7/2024,0.5213957056,1,0.75,0.6626130003,56.76666667
Caryn Knill,5/11/2024,2/8/2025,0.522,7,0.375,0.8755634456,46.91666667
Riina Lahtinen,5/18/2024,2/11/2025,0.5226840061,5,0.35,0.7812136982,63.74
Diana Lisette Bohórquez Benavides,7/26/2024,1/2/2025,0.5228073497,2,0.75,#NUM!,93.15833333
Lobna Raafat,7/20/2024,7/20/2024,0.523,1,0.75,#NUM!,116.8333333
Pilar Sonsona Torrent,6/15/2024,6/15/2024,0.5230751534,1,0.6666666667,0.8884098359,64.38333333
Carlos Durá Costa,3/23/2024,2/8/2025,0.5234174086,7,0.7857142857,0.7648602945,79.77857143
Simone Reicht,9/18/2024,9/20/2024,0.523,2,0.875,0.7043764812,45.15
Karolina Gajdova,9/18/2024,9/21/2024,0.524,3,0.9166666667,0.6398110842,51.12777778
Fernando Roca Fleque,3/23/2024,2/8/2025,0.524,7,0.75,0.7802247295,65.71428571
